model_id,ability_anchor,solved_ability_parameter,fitting_error,sufficient_low,sufficient_mid,sufficient_mid_high,sufficient_high,shared_temperature,evidence_confidence
gpt-5.5,0.782,0.6000445560690806,0.0,0.9679497255290579,0.8375332853989281,0.41150743243938315,0.11489241897773944,0.12,medium
gpt-5.4-mini,0.6559999999999999,0.37542767996868553,-3.3306690738754696e-16,0.8627482535246016,0.46102636447178436,0.1184285739606725,0.044116580001326816,0.12,low
claude-opus-4-8,0.838,0.7405368154801621,-2.220446049250313e-16,0.9830514792769127,0.9368975687252181,0.6829465554428616,0.2587382370620185,0.12,medium
claude-sonnet-5,0.778,0.5902419125429264,0.0,0.9661195393909839,0.826762340786717,0.3928939569621095,0.10877981376289587,0.12,low
gemini-3.5-flash,0.7859999999999999,0.6099577631117494,1.1102230246251565e-16,0.9696610480291519,0.8478320661619502,0.4306504341229589,0.1215063443167558,0.12,medium
deepseek-v4-flash,0.6719999999999999,0.395431465104481,-1.1102230246251565e-16,0.8800492946367835,0.5008640336627619,0.132752411327875,0.04663292795940523,0.12,low
deepseek-v4-pro,0.732,0.4898299253001487,-2.220446049250313e-16,0.936601283501504,0.6817150085462865,0.23003965656687225,0.06578495274009998,0.12,medium
glm-5.1,0.75,0.5260528779602989,-1.1102230246251565e-16,0.9499340057215506,0.7412251267540898,0.282022734300432,0.07776704834339279,0.12,medium
kimi-k2.6,0.746,0.5176439518588729,-1.1102230246251565e-16,0.9471554937915162,0.7280936499597717,0.2692169934411507,0.07468485765601768,0.12,medium
qwen3.5-flash,0.62,0.33571102109254747,-1.1102230246251565e-16,0.8215830210062496,0.3844116239029469,0.09520400719339295,0.04018106760138174,0.12,medium
qwen3.6-plus,0.742,0.5094407048215279,-1.1102230246251565e-16,0.9442685981340386,0.7148740330388823,0.25715051855293314,0.07186100251848729,0.12,medium
qwen3.7-max,0.762,0.5524840411863314,0.0,0.9575872086698267,0.7796281070882295,0.32503651723147053,0.08881577201574785,0.12,low
minimax-m3,0.764,0.5570571678943699,0.0,0.9587597590467984,0.7858213563704296,0.33288131895246353,0.09095539584187315,0.12,medium
